Unnamed: 0,tweets,tweets_tokenize,tweet_strings,lemm_tweets,neg,neu,pos,compound,sentiment,topic
240,that s how you will continue crying till announce peter obi as obi is the only widely accepted presidential candidate,"['continue', 'crying', 'till', 'announce', 'peter', 'obi', 'obi', 'widely', 'accepted', 'presidential', 'candidate']",continue crying till announce peter obi obi widely accepted presidential candidate,continue cry till announce peter obi obi widely accepted presidential candidate,0.218,0.634,0.148,-0.25,negative,5
241,everyone a photo with the goat,"['everyone', 'photo', 'goat']",everyone photo goat,everyone photo goat,0.0,1.0,0.0,0.0,neutral,4
242,the sterling performance of the strike force in is a stark reminder of how criminal it was for not to have qualified out of for the qatarworldcup but will any lesson be learnt from the shameful failure to qualify i doubt it,"['sterling', 'performance', 'strike', 'force', 'stark', 'reminder', 'criminal', 'qualified', 'qatarworldcup', 'lesson', 'learnt', 'shameful', 'failure', 'qualify', 'doubt']",sterling performance strike force stark reminder criminal qualified qatarworldcup lesson learnt shameful failure qualify doubt,sterling performance strike force stark reminder criminal qualified qatarworldcup lesson learnt shameful failure qualify doubt,0.582,0.418,0.0,-0.9169,negative,3
243,world cup champion brazil  please if you like it,"['world', 'cup', 'champion', 'brazil', 'please', 'like']",world cup champion brazil please like,world cup champion brazil please like,0.0,0.256,0.744,0.8271,positive,6
244,world cup champion  please if you like it,"['world', 'cup', 'champion', 'please', 'like']",world cup champion please like,world cup champion please like,0.0,0.187,0.813,0.8271,positive,6
245,group a with  interesting v v international soccer,"['group', 'interesting', 'v', 'v', 'international', 'soccer']",group interesting international soccer,group interesting international soccer,0.0,0.526,0.474,0.4019,positive,4
246,should investigate migrant connected to the qatarworldcup,"['investigate', 'migrant', 'connected', 'qatarworldcup']",investigate migrant connected qatarworldcup,investigate migrant connected qatarworldcup,0.0,1.0,0.0,0.0,neutral,4
247,aje_sport the respect to russia was from qatarworldcup for part of,"['aje_sport', 'respect', 'russia', 'qatarworldcup', 'part']",aje_sport respect russia qatarworldcup part,aje_sport respect russia qatarworldcup part,0.0,0.563,0.437,0.4767,positive,5
248,world cup champion brazil  please if you like it,"['world', 'cup', 'champion', 'brazil', 'please', 'like']",world cup champion brazil please like,world cup champion brazil please like,0.0,0.256,0.744,0.8271,positive,6
249,the latest global labour column just fight impunity and the newly general secretary of the can we get some before march  read the full article,"['latest', 'global', 'labour', 'column', 'fight', 'impunity', 'newly', 'general', 'secretary', 'get', 'march', 'read', 'full', 'article']",latest global labour column fight impunity newly general secretary get march read full article,latest global labour column fight impunity newly general secretary get march read full article,0.167,0.833,0.0,-0.3818,negative,4
250,cinematic from the  world cup thread,"['cinematic', 'world', 'cup', 'thread']",cinematic world cup thread,cinematic world cup thread,0.0,1.0,0.0,0.0,neutral,6
251,sport football qatarworldcup,"['sport', 'football', 'qatarworldcup']",sport football qatarworldcup,sport football qatarworldcup,0.0,1.0,0.0,0.0,neutral,0
252,,[],,,0.0,0.0,0.0,0.0,neutral,0
253,world cup champion  please if you like it,"['world', 'cup', 'champion', 'please', 'like']",world cup champion please like,world cup champion please like,0.0,0.187,0.813,0.8271,positive,6
254,world cup champion  please if you like it,"['world', 'cup', 'champion', 'please', 'like']",world cup champion please like,world cup champion please like,0.0,0.187,0.813,0.8271,positive,6
255,qatarworldcup stadium update worldcup,"['qatarworldcup', 'stadium', 'update', 'worldcup']",qatarworldcup stadium update worldcup,qatarworldcup stadium update worldcup,0.0,1.0,0.0,0.0,neutral,4
256,q no termine qatarworldcup tattoo ,"['q', 'termine', 'qatarworldcup', 'tattoo']",termine qatarworldcup tattoo,termine qatarworldcup tattoo,0.0,1.0,0.0,0.0,neutral,4
257,football on money sports please if you like it,"['football', 'money', 'sports', 'please', 'like']",football money sports please like,football money sport please like,0.0,0.385,0.615,0.5859,positive,6
258,this was evident during qatarworldcup in a mild way,"['evident', 'qatarworldcup', 'mild', 'way']",evident qatarworldcup mild way,evident qatarworldcup mild way,0.0,1.0,0.0,0.0,neutral,4
259,united s are well known could s world cup winner mac be the answer to ten hag s read below to find out more qatarworldcup,"['united', 'well', 'known', 'could', 'world', 'cup', 'winner', 'mac', 'answer', 'ten', 'hag', 'read', 'find', 'qatarworldcup']",united well known could world cup winner mac answer ten hag read find qatarworldcup,united well known could world cup winner mac answer ten hag read find qatarworldcup,0.0,0.558,0.442,0.8271,positive,5
260,world cup champion brazil  please if you like it,"['world', 'cup', 'champion', 'brazil', 'please', 'like']",world cup champion brazil please like,world cup champion brazil please like,0.0,0.256,0.744,0.8271,positive,6
261,,[],,,0.0,0.0,0.0,0.0,neutral,0
262,the news of qatarworldcup are more than  billion in if the is successfully the of the club the surge of  million,"['news', 'qatarworldcup', 'billion', 'successfully', 'club', 'surge', 'million']",news qatarworldcup billion successfully club surge million,news qatarworldcup billion successfully club surge million,0.0,0.652,0.348,0.4939,positive,2
263,qatarworldcupwhat  the remedy fund  compensate migrant  wage,"['qatarworldcupwhat', 'remedy', 'fund', 'compensate', 'migrant', 'wage']",qatarworldcupwhat remedy fund compensate migrant wage,qatarworldcupwhat remedy fund compensate migrant wage,0.0,1.0,0.0,0.0,neutral,4
264,this is  from the official world cup collection for the last digit  from team from qatarworldcuplisted for ,"['official', 'world', 'cup', 'collection', 'last', 'digit', 'team', 'qatarworldcuplisted']",official world cup collection last digit team qatarworldcuplisted,official world cup collection last digit team qatarworldcuplisted,0.0,1.0,0.0,0.0,neutral,2
265,world cup champion brazil  please if you like it,"['world', 'cup', 'champion', 'brazil', 'please', 'like']",world cup champion brazil please like,world cup champion brazil please like,0.0,0.256,0.744,0.8271,positive,6
266,morocco world cup  sports please if you like it,"['morocco', 'world', 'cup', 'sports', 'please', 'like']",morocco world cup sports please like,morocco world cup sport please like,0.0,0.455,0.545,0.5859,positive,6
267,qatarworldcup renaissance film sur visage,"['qatarworldcup', 'renaissance', 'film', 'sur', 'visage']",qatarworldcup renaissance film sur visage,qatarworldcup renaissance film sur visage,0.0,1.0,0.0,0.0,neutral,5
268,world cup champion  please if you like it,"['world', 'cup', 'champion', 'please', 'like']",world cup champion please like,world cup champion please like,0.0,0.187,0.813,0.8271,positive,6
269,renaissance film sur visage,"['renaissance', 'film', 'sur', 'visage']",renaissance film sur visage,renaissance film sur visage,0.0,1.0,0.0,0.0,neutral,5
270,qatarworldcup famous town village donated to affected call this great example of gave them the feeling of one world jodyalexander,"['qatarworldcup', 'famous', 'town', 'village', 'donated', 'affected', 'call', 'great', 'example', 'gave', 'feeling', 'one', 'world', 'jodyalexander']",qatarworldcup famous town village donated affected call great example gave feeling one world jodyalexander,qatarworldcup famous town village donated affected call great example gave feeling one world jodyalexander,0.088,0.604,0.308,0.6124,positive,4
271,world cup champion  please if you like it,"['world', 'cup', 'champion', 'please', 'like']",world cup champion please like,world cup champion please like,0.0,0.187,0.813,0.8271,positive,6
272,world cup  sports please if you like it,"['world', 'cup', 'sports', 'please', 'like']",world cup sports please like,world cup sport please like,0.0,0.385,0.615,0.5859,positive,6
273,long after the final whistle blown at qatarworldcup,"['long', 'final', 'whistle', 'blown', 'qatarworldcup']",long final whistle blown qatarworldcup,long final whistle blown qatarworldcup,0.0,1.0,0.0,0.0,neutral,4
274,world cup  summary chart sports please if you like it,"['world', 'cup', 'summary', 'chart', 'sports', 'please', 'like']",world cup summary chart sports please like,world cup summary chart sport please like,0.0,0.51,0.49,0.5859,positive,6
275,world cup   sports please if you like it,"['world', 'cup', 'sports', 'please', 'like']",world cup sports please like,world cup sport please like,0.0,0.385,0.615,0.5859,positive,6
276,world cup football list sports please if you like it,"['world', 'cup', 'football', 'list', 'sports', 'please', 'like']",world cup football list sports please like,world cup football list sport please like,0.0,0.51,0.49,0.5859,positive,6
277,world cup champion  please if you like it,"['world', 'cup', 'champion', 'please', 'like']",world cup champion please like,world cup champion please like,0.0,0.187,0.813,0.8271,positive,6
278,important reading on the legacy of qatarworldcup and the responsibility of sports and the of sporting regarding,"['important', 'reading', 'legacy', 'qatarworldcup', 'responsibility', 'sports', 'sporting', 'regarding']",important reading legacy qatarworldcup responsibility sports sporting regarding,important reading legacy qatarworldcup responsibility sport sporting regarding,0.0,0.795,0.205,0.2023,positive,3
279,world cup champion brazil  please if you like it,"['world', 'cup', 'champion', 'brazil', 'please', 'like']",world cup champion brazil please like,world cup champion brazil please like,0.0,0.256,0.744,0.8271,positive,6
280,s decision will not make abandon their land it merely their insecurity and as was obvious from the qatarworldcup they are right too all people were to show that they in and its cause against thank you,"['decision', 'make', 'abandon', 'land', 'merely', 'insecurity', 'obvious', 'qatarworldcup', 'right', 'people', 'show', 'cause', 'thank']",decision make abandon land merely insecurity obvious qatarworldcup right people show cause thank,decision make abandon land merely insecurity obvious qatarworldcup right people show cause thank,0.313,0.549,0.137,-0.4939,negative,1
281,world cup champion  please if you like it,"['world', 'cup', 'champion', 'please', 'like']",world cup champion please like,world cup champion please like,0.0,0.187,0.813,0.8271,positive,6
282,geeman is one not harry s penalty in qatarworldcup,"['geeman', 'one', 'harry', 'penalty', 'qatarworldcup']",geeman one harry penalty qatarworldcup,geeman one harry penalty qatarworldcup,0.429,0.571,0.0,-0.4588,negative,5
283,world cup champion brazil  please if you like it,"['world', 'cup', 'champion', 'brazil', 'please', 'like']",world cup champion brazil please like,world cup champion brazil please like,0.0,0.256,0.744,0.8271,positive,6
284,world cup football list sports please if you like it,"['world', 'cup', 'football', 'list', 'sports', 'please', 'like']",world cup football list sports please like,world cup football list sport please like,0.0,0.51,0.49,0.5859,positive,6
285,morocco world cup  sports please if you like it,"['morocco', 'world', 'cup', 'sports', 'please', 'like']",morocco world cup sports please like,morocco world cup sport please like,0.0,0.455,0.545,0.5859,positive,6
286,only  ago,['ago'],ago,ago,0.0,1.0,0.0,0.0,neutral,0
287,world cup   sports please if you like it,"['world', 'cup', 'sports', 'please', 'like']",world cup sports please like,world cup sport please like,0.0,0.385,0.615,0.5859,positive,6
288,world cup champion brazil  please if you like it,"['world', 'cup', 'champion', 'brazil', 'please', 'like']",world cup champion brazil please like,world cup champion brazil please like,0.0,0.256,0.744,0.8271,positive,6
289,world cup champion  please if you like it,"['world', 'cup', 'champion', 'please', 'like']",world cup champion please like,world cup champion please like,0.0,0.187,0.813,0.8271,positive,6
290,world cup champion  please if you like it,"['world', 'cup', 'champion', 'please', 'like']",world cup champion please like,world cup champion please like,0.0,0.187,0.813,0.8271,positive,6
291,world cup champion  please if you like it,"['world', 'cup', 'champion', 'please', 'like']",world cup champion please like,world cup champion please like,0.0,0.187,0.813,0.8271,positive,6
292,world cup  sports please if you like it,"['world', 'cup', 'sports', 'please', 'like']",world cup sports please like,world cup sport please like,0.0,0.385,0.615,0.5859,positive,6
293,exclusive the making of bts_bighit bts_twt,"['exclusive', 'making', 'bts_bighit', 'bts_twt']",exclusive making bts_bighit bts_twt,exclusive making bts_bighit bts_twt,0.0,0.667,0.333,0.128,positive,3
294,presidente de la para la final de qatarworldcup lo es,"['presidente', 'de', 'la', 'para', 'la', 'final', 'de', 'qatarworldcup', 'lo', 'es']",presidente para final qatarworldcup,presidente para final qatarworldcup,0.0,1.0,0.0,0.0,neutral,5
295,world cup champion  please if you like it,"['world', 'cup', 'champion', 'please', 'like']",world cup champion please like,world cup champion please like,0.0,0.187,0.813,0.8271,positive,6
296,the world cup funny please if you like it,"['world', 'cup', 'funny', 'please', 'like']",world cup funny please like,world cup funny please like,0.0,0.206,0.794,0.7717,positive,6
297,world cup champion  sports please if you like it,"['world', 'cup', 'champion', 'sports', 'please', 'like']",world cup champion sports please like,world cup champion sport please like,0.0,0.256,0.744,0.8271,positive,6
298,world cup champion  sports please if you like it,"['world', 'cup', 'champion', 'sports', 'please', 'like']",world cup champion sports please like,world cup champion sport please like,0.0,0.256,0.744,0.8271,positive,6
299,world cup champion brazil  please if you like it,"['world', 'cup', 'champion', 'brazil', 'please', 'like']",world cup champion brazil please like,world cup champion brazil please like,0.0,0.256,0.744,0.8271,positive,6
300,the world cup funny please if you like it,"['world', 'cup', 'funny', 'please', 'like']",world cup funny please like,world cup funny please like,0.0,0.206,0.794,0.7717,positive,6
301,world cup champion  please if you like it,"['world', 'cup', 'champion', 'please', 'like']",world cup champion please like,world cup champion please like,0.0,0.187,0.813,0.8271,positive,6
302,making of bts_twt __by al qatarworldcup,"['making', 'bts_twt', '__by', 'al', 'qatarworldcup']",making bts_twt __by qatarworldcup,making bts_twt __by qatarworldcup,0.0,1.0,0.0,0.0,neutral,3
303,world cup  rd title sports please if you like it,"['world', 'cup', 'rd', 'title', 'sports', 'please', 'like']",world cup title sports please like,world cup title sport please like,0.0,0.455,0.545,0.5859,positive,6
304,world cup  rd title sports  please if you like it,"['world', 'cup', 'rd', 'title', 'sports', 'please', 'like']",world cup title sports please like,world cup title sport please like,0.0,0.455,0.545,0.5859,positive,6
305,en el,"['en', 'el']",,,0.0,0.0,0.0,0.0,neutral,3
306,world cup  summary chart sports please if you like it,"['world', 'cup', 'summary', 'chart', 'sports', 'please', 'like']",world cup summary chart sports please like,world cup summary chart sport please like,0.0,0.51,0.49,0.5859,positive,6
307,world cup champion brazil  please if you like it,"['world', 'cup', 'champion', 'brazil', 'please', 'like']",world cup champion brazil please like,world cup champion brazil please like,0.0,0.256,0.744,0.8271,positive,6
308,qatarworldcup an unconventional tournament the of the old world qudama_khaled,"['qatarworldcup', 'unconventional', 'tournament', 'old', 'world', 'qudama_khaled']",qatarworldcup unconventional tournament old world qudama_khaled,qatarworldcup unconventional tournament old world qudama_khaled,0.0,1.0,0.0,0.0,neutral,1
309,i the t really a but the football sent into the stratosphere when he that penalty in qatarworldcup,"['really', 'football', 'sent', 'stratosphere', 'penalty', 'qatarworldcup']",really football sent stratosphere penalty qatarworldcup,really football sent stratosphere penalty qatarworldcup,0.375,0.625,0.0,-0.4588,negative,3
310,my of streaming the world cup as a fan g g video satellite mwc qatar qatarworldcup,"['streaming', 'world', 'cup', 'fan', 'g', 'g', 'video', 'satellite', 'mwc', 'qatar', 'qatarworldcup']",streaming world cup fan video satellite mwc qatar qatarworldcup,streaming world cup fan video satellite mwc qatar qatarworldcup,0.0,0.777,0.223,0.3182,positive,2
311,for more information about the human of sport,"['information', 'human', 'sport']",information human sport,information human sport,0.0,1.0,0.0,0.0,neutral,6
312,world cup champion  please if you like it,"['world', 'cup', 'champion', 'please', 'like']",world cup champion please like,world cup champion please like,0.0,0.187,0.813,0.8271,positive,6
313,football on money sports please if you like it,"['football', 'money', 'sports', 'please', 'like']",football money sports please like,football money sport please like,0.0,0.385,0.615,0.5859,positive,6
314,un d de la de e baker journal baker news  sur de la coupe qatarworldcup,"['un', 'de', 'la', 'de', 'e', 'baker', 'journal', 'baker', 'news', 'sur', 'de', 'la', 'coupe', 'qatarworldcup']",baker journal baker news sur coupe qatarworldcup,baker journal baker news sur coupe qatarworldcup,0.0,1.0,0.0,0.0,neutral,6
315,world cup champion brazil  please if you like it,"['world', 'cup', 'champion', 'brazil', 'please', 'like']",world cup champion brazil please like,world cup champion brazil please like,0.0,0.256,0.744,0.8271,positive,6
316,latest column fight impunity and the newly general secretary of the can we get some before march  by frank the nd column by frank on the situation at the qatarworldcup,"['latest', 'column', 'fight', 'impunity', 'newly', 'general', 'secretary', 'get', 'march', 'frank', 'nd', 'column', 'frank', 'situation', 'qatarworldcup']",latest column fight impunity newly general secretary get march frank column frank situation qatarworldcup,latest column fight impunity newly general secretary get march frank column frank situation qatarworldcup,0.167,0.833,0.0,-0.3818,negative,3
317,world cup champion  please if you like it,"['world', 'cup', 'champion', 'please', 'like']",world cup champion please like,world cup champion please like,0.0,0.187,0.813,0.8271,positive,6
318,world cup  sports please if you like it,"['world', 'cup', 'sports', 'please', 'like']",world cup sports please like,world cup sport please like,0.0,0.385,0.615,0.5859,positive,6
319,soccer touchdown red sports please if you like it,"['soccer', 'touchdown', 'red', 'sports', 'please', 'like']",soccer touchdown red sports please like,soccer touchdown red sport please like,0.0,0.455,0.545,0.5859,positive,6
320,less than two after morocco s exceptional run at the qatarworldcup the north nation itself at the heart of world football again as it host to the club world cup,"['less', 'two', 'morocco', 'exceptional', 'run', 'qatarworldcup', 'north', 'nation', 'heart', 'world', 'football', 'host', 'club', 'world', 'cup']",less two morocco exceptional run qatarworldcup north nation heart world football host club world cup,le two morocco exceptional run qatarworldcup north nation heart world football host club world cup,0.0,1.0,0.0,0.0,neutral,2
321,world cup champion  please if you like it,"['world', 'cup', 'champion', 'please', 'like']",world cup champion please like,world cup champion please like,0.0,0.187,0.813,0.8271,positive,6
322,world cup   sports please if you like it,"['world', 'cup', 'sports', 'please', 'like']",world cup sports please like,world cup sport please like,0.0,0.385,0.615,0.5859,positive,6
323,world cup   sports please if you like it,"['world', 'cup', 'sports', 'please', 'like']",world cup sports please like,world cup sport please like,0.0,0.385,0.615,0.5859,positive,6
324,goal if to the of the i m sure they invite him,"['goal', 'sure', 'invite']",goal sure invite,goal sure invite,0.0,0.204,0.796,0.4404,positive,1
325,world cup champion  please if you like it,"['world', 'cup', 'champion', 'please', 'like']",world cup champion please like,world cup champion please like,0.0,0.187,0.813,0.8271,positive,6
326,world cup   sports please if you like it,"['world', 'cup', 'sports', 'please', 'like']",world cup sports please like,world cup sport please like,0.0,0.385,0.615,0.5859,positive,6
327,the legacy of qatarworldcup football have a responsibility to their towards migrant who carry the of abuse,"['legacy', 'qatarworldcup', 'football', 'responsibility', 'towards', 'migrant', 'carry', 'abuse']",legacy qatarworldcup football responsibility towards migrant carry abuse,legacy qatarworldcup football responsibility towards migrant carry abuse,0.375,0.625,0.0,-0.6369,negative,6
328,con lo el de hoy scratch en qatarworldcup  set dale toque en mono brazil,"['con', 'lo', 'el', 'de', 'hoy', 'scratch', 'en', 'qatarworldcup', 'set', 'dale', 'toque', 'en', 'mono', 'brazil']",con hoy scratch qatarworldcup set dale toque mono brazil,con hoy scratch qatarworldcup set dale toque mono brazil,0.0,1.0,0.0,0.0,neutral,1
329,las  crazonblanc en twitter  realmadrid barcelona qatar temporada madrid partidos qatarworldcup cr𓃵 lvbp palabras,"['las', 'crazonblanc', 'en', 'twitter', 'realmadrid', 'barcelona', 'qatar', 'temporada', 'madrid', 'partidos', 'qatarworldcup', 'cr𓃵', 'lvbp', 'palabras']",las crazonblanc twitter realmadrid barcelona qatar temporada madrid partidos qatarworldcup cr𓃵 lvbp palabras,la crazonblanc twitter realmadrid barcelona qatar temporada madrid partidos qatarworldcup cr𓃵 lvbp palabras,0.0,1.0,0.0,0.0,neutral,2
330,long after the final whistle blown at qatarworldcup,"['long', 'final', 'whistle', 'blown', 'qatarworldcup']",long final whistle blown qatarworldcup,long final whistle blown qatarworldcup,0.0,1.0,0.0,0.0,neutral,4
331,c las y con la jersey de qatarworldcup  kkoulibaly set dale toque en mono,"['c', 'las', 'con', 'la', 'jersey', 'de', 'qatarworldcup', 'kkoulibaly', 'set', 'dale', 'toque', 'en', 'mono']",las con jersey qatarworldcup kkoulibaly set dale toque mono,la con jersey qatarworldcup kkoulibaly set dale toque mono,0.0,1.0,0.0,0.0,neutral,3
332,tan el qatarworldcup y,"['tan', 'el', 'qatarworldcup']",tan qatarworldcup,tan qatarworldcup,0.0,1.0,0.0,0.0,neutral,3
333,es metal las  en twitter  metal cali qatar qatarworldcup nameless esos colombia heavy golazo never palabras,"['es', 'metal', 'las', 'en', 'twitter', 'metal', 'cali', 'qatar', 'qatarworldcup', 'nameless', 'esos', 'colombia', 'heavy', 'golazo', 'never', 'palabras']",metal las twitter metal cali qatar qatarworldcup nameless esos colombia heavy golazo never palabras,metal la twitter metal cali qatar qatarworldcup nameless esos colombia heavy golazo never palabras,0.0,1.0,0.0,0.0,neutral,3
334,hat in qatarworldcup,"['hat', 'qatarworldcup']",hat qatarworldcup,hat qatarworldcup,0.0,1.0,0.0,0.0,neutral,4
335,another episode of our with about qatarworldcup,"['another', 'episode', 'qatarworldcup']",another episode qatarworldcup,another episode qatarworldcup,0.0,1.0,0.0,0.0,neutral,0
336,  e al  con e loro tempo a di i in qatarworldcup,"['e', 'al', 'con', 'e', 'loro', 'tempo', 'di', 'qatarworldcup']",con loro tempo qatarworldcup,con loro tempo qatarworldcup,0.0,1.0,0.0,0.0,neutral,3
337,land,['land'],land,land,0.0,1.0,0.0,0.0,neutral,1
338,revealed that he would take with him his memorabilia,"['revealed', 'would', 'take', 'memorabilia']",revealed would take memorabilia,revealed would take memorabilia,0.0,1.0,0.0,0.0,neutral,3
339,hat toll,"['hat', 'toll']",hat toll,hat toll,0.0,1.0,0.0,0.0,neutral,3
340,solo para de o o    dos qatarworldcup,"['solo', 'para', 'de', 'dos', 'qatarworldcup']",solo para dos qatarworldcup,solo para do qatarworldcup,0.0,1.0,0.0,0.0,neutral,5
341,١٠٠ step الأردن_اسبانيا xa qatarworldcup,"['١٠٠', 'step', 'الأردن_اسبانيا', 'xa', 'qatarworldcup']",١٠٠ step الأردن_اسبانيا qatarworldcup,١٠٠ step الأردن_اسبانيا qatarworldcup,0.0,1.0,0.0,0.0,neutral,6
342,man and accused of being gay in,"['man', 'accused', 'gay']",man accused gay,man accused gay,0.524,0.476,0.0,-0.296,negative,5
343,con la o se de qatarworldcup,"['con', 'la', 'se', 'de', 'qatarworldcup']",con qatarworldcup,con qatarworldcup,0.0,1.0,0.0,0.0,neutral,1
344,with celebrity aly after cupping session cupping qatarworldcup,"['celebrity', 'aly', 'cupping', 'session', 'cupping', 'qatarworldcup']",celebrity aly cupping session cupping qatarworldcup,celebrity aly cupping session cupping qatarworldcup,0.0,1.0,0.0,0.0,neutral,6
345,the world cup was an opportunity for to make a difference and highlight its as an country in the middle east in making a difference and in all since it was assigned to organize the world cup in  qatarworldcup,"['world', 'cup', 'opportunity', 'make', 'difference', 'highlight', 'country', 'middle', 'east', 'making', 'difference', 'since', 'assigned', 'organize', 'world', 'cup', 'qatarworldcup']",world cup opportunity make difference highlight country middle east making difference since assigned organize world cup qatarworldcup,world cup opportunity make difference highlight country middle east making difference since assigned organize world cup qatarworldcup,0.0,0.743,0.257,0.6369,positive,1
346,  hace  qatarworldcup,"['hace', 'qatarworldcup']",hace qatarworldcup,hace qatarworldcup,0.0,1.0,0.0,0.0,neutral,4
347,is such a material dreamers worldcupqatar qatarworldcup,"['material', 'dreamers', 'worldcupqatar', 'qatarworldcup']",material dreamers worldcupqatar qatarworldcup,material dreamer worldcupqatar qatarworldcup,0.0,1.0,0.0,0.0,neutral,0
348,i m down to the last  can anyone help me with these please ksa fra por gha qatarworldcup,"['last', 'anyone', 'help', 'please', 'ksa', 'fra', 'por', 'gha', 'qatarworldcup']",last anyone help please ksa fra por gha qatarworldcup,last anyone help please ksa fra por gha qatarworldcup,0.0,0.583,0.417,0.6124,positive,3
349,to make qatarworldcup possible and this man took his gold from television,"['make', 'qatarworldcup', 'possible', 'man', 'took', 'gold', 'television']",make qatarworldcup possible man took gold television,make qatarworldcup possible man took gold television,0.0,1.0,0.0,0.0,neutral,1
350,out   qatarworldcup,['qatarworldcup'],qatarworldcup,qatarworldcup,0.0,1.0,0.0,0.0,neutral,4
351,is this mere coincidence or bola to same symbol was shown at qatarworldcup are there we need to know about these don t just stand on mandate you know nothing about shine your,"['mere', 'coincidence', 'bola', 'symbol', 'shown', 'qatarworldcup', 'need', 'know', 'stand', 'mandate', 'know', 'nothing', 'shine']",mere coincidence bola symbol shown qatarworldcup need know stand mandate know nothing shine,mere coincidence bola symbol shown qatarworldcup need know stand mandate know nothing shine,0.0,1.0,0.0,0.0,neutral,4
352,may the anguish in which you have will be a close relief behind it cameron_herrin_is_innocent justicecameronherrin qatarworldcup newyear dating_in_riaydh,"['may', 'anguish', 'close', 'relief', 'behind', 'cameron_herrin_is_innocent', 'justicecameronherrin', 'qatarworldcup', 'newyear', 'dating_in_riaydh']",may anguish close relief behind cameron_herrin_is_innocent justicecameronherrin qatarworldcup newyear dating_in_riaydh,may anguish close relief behind cameron_herrin_is_innocent justicecameronherrin qatarworldcup newyear dating_in_riaydh,0.26,0.533,0.207,-0.2023,negative,1
353,some from world cup  qatarworldcup,"['world', 'cup', 'qatarworldcup']",world cup qatarworldcup,world cup qatarworldcup,0.0,1.0,0.0,0.0,neutral,6
354,happy no more,['happy'],happy,happy,0.0,0.0,1.0,0.5719,positive,5
355, ago already time really qatarworldcup was a hit,"['ago', 'already', 'time', 'really', 'qatarworldcup', 'hit']",ago already time really qatarworldcup hit,ago already time really qatarworldcup hit,0.0,1.0,0.0,0.0,neutral,0
356,he s retired as a referee after doing a brilliant job at the qatarworldcup last year he s now been as safa_net national referee s committee massive role in a world of numerous and an absence of in sa tonight on mswon,"['retired', 'referee', 'brilliant', 'job', 'qatarworldcup', 'last', 'year', 'safa_net', 'national', 'referee', 'committee', 'massive', 'role', 'world', 'numerous', 'absence', 'sa', 'tonight', 'mswon']",retired referee brilliant job qatarworldcup last year safa_net national referee committee massive role world numerous absence tonight mswon,retired referee brilliant job qatarworldcup last year safa_net national referee committee massive role world numerous absence tonight mswon,0.0,0.817,0.183,0.5859,positive,1
357,calm down xa worldcup qatarworldcup finale,"['calm', 'xa', 'worldcup', 'qatarworldcup', 'finale']",calm worldcup qatarworldcup finale,calm worldcup qatarworldcup finale,0.0,0.566,0.434,0.3182,positive,4
358,another best he was magnificent at,"['another', 'best', 'magnificent']",another best magnificent,another best magnificent,0.0,0.11,0.89,0.8442,positive,0
359,global king speaking gad worldcup qatarworldcup bhimconcert,"['global', 'king', 'speaking', 'gad', 'worldcup', 'qatarworldcup', 'bhimconcert']",global king speaking gad worldcup qatarworldcup bhimconcert,global king speaking gad worldcup qatarworldcup bhimconcert,0.0,1.0,0.0,0.0,neutral,1
360,night everyone,"['night', 'everyone']",night everyone,night everyone,0.0,1.0,0.0,0.0,neutral,3
361,is that the fan from qatarworldcup,"['fan', 'qatarworldcup']",fan qatarworldcup,fan qatarworldcup,0.0,0.303,0.697,0.3182,positive,3
362,welcome and nicocantor to morocco you are our two non that us during qatarworldcup your were among a lot of us enjoy your stay we would love to see and from your trip,"['welcome', 'nicocantor', 'morocco', 'two', 'non', 'us', 'qatarworldcup', 'among', 'lot', 'us', 'enjoy', 'stay', 'would', 'love', 'see', 'trip']",welcome nicocantor morocco two non qatarworldcup among lot enjoy stay would love see trip,welcome nicocantor morocco two non qatarworldcup among lot enjoy stay would love see trip,0.0,0.514,0.486,0.886,positive,3
363,yet they qatarworldcup t serve kosher and provide to pray are they demand and only take from,"['yet', 'qatarworldcup', 'serve', 'kosher', 'provide', 'pray', 'demand', 'take']",yet qatarworldcup serve kosher provide pray demand take,yet qatarworldcup serve kosher provide pray demand take,0.153,0.612,0.235,0.2023,positive,3
364,      qatarworldcup,['qatarworldcup'],qatarworldcup,qatarworldcup,0.0,1.0,0.0,0.0,neutral,4
365,did you watch the magical world cup  who were you supporting qatarworldcup,"['watch', 'magical', 'world', 'cup', 'supporting', 'qatarworldcup']",watch magical world cup supporting qatarworldcup,watch magical world cup supporting qatarworldcup,0.0,0.633,0.367,0.4404,positive,6
366,great team spirit,"['great', 'team', 'spirit']",great team spirit,great team spirit,0.0,0.147,0.853,0.7003,positive,1
367,most viral pic of the year  fifaworldcupqatar,"['viral', 'pic', 'year', 'fifaworldcupqatar']",viral pic year fifaworldcupqatar,viral pic year fifaworldcupqatar,0.0,1.0,0.0,0.0,neutral,0
368,and and in world cup final this is going to be a blockbuster xa xa xa fifaworldcupqatar,"['world', 'cup', 'final', 'going', 'blockbuster', 'xa', 'xa', 'xa', 'fifaworldcupqatar']",world cup final going blockbuster fifaworldcupqatar,world cup final going blockbuster fifaworldcupqatar,0.0,0.562,0.438,0.5994,positive,2
369,football is nothing without lionel what a career,"['football', 'nothing', 'without', 'lionel', 'career']",football nothing without lionel career,football nothing without lionel career,0.0,1.0,0.0,0.0,neutral,0
